rep,fold,model,mbe,mae,rmse,r2,corr,corr_rank,power_t10,power_b10,var_additive,var_residual,h2
1,1,ridge,-0.003561708071212068,1.0215158551373296,1.282493031163969,0.257423766448444,0.5151737825208911,0.4696023405779795,0.4375,0.4375,0.40426891119765734,1.655185661936342,0.1962990184
1,1,lasso,0.018124748158849662,0.8919644897487603,1.1260013799693012,0.4275878242401363,0.6740180796397056,0.6555917124432769,0.5,0.4375,0.5821117843059832,1.2755730733564232,0.3133533559
1,1,elastic_net,0.02245784368816253,0.8958657824882768,1.1316253066189685,0.4218556049625073,0.6746045606272335,0.6575650823978982,0.4375,0.4375,0.5415868052740048,1.2881731980641715,0.2959878915
1,1,gBLUP,-0.10355207245468737,1.135640796581161,1.43221561796245,0.07392144361775366,0.3742918817358308,0.3514300214951039,0.1875,0.3125,0.8622084608855118,2.0534332189589763,0.295718252
1,1,SVR,0.03776933721278401,1.0465788927704998,1.318901475112253,0.21466360321802624,0.4874361638073208,0.4563141867685694,0.375,0.3125,0.25487524825006375,1.7490750502338328,0.127186412
1,1,RandomForest,0.0011124450674322077,1.0458477351536553,1.2991157316440123,0.23804960013313858,0.5465605944995875,0.5011643181275377,0.3125,0.4375,0.20091842246275488,1.6983820950675812,0.1057854829
1,1,XGBoost,0.0319208637043775,1.0023431847663922,1.241921508999905,0.30366325187036447,0.5561471254808686,0.5448680439455458,0.3125,0.4375,0.5225875758441756,1.5511054733122647,0.252008163
1,1,LightGBM,-0.015239252700954262,0.9725255253659806,1.2143472278131033,0.3342413942197603,0.5796192727385423,0.5724593981370911,0.3125,0.4375,0.6486907321253794,1.4837386444622984,0.3042026804
1,2,ridge,-0.13035410926982424,0.9487611458819447,1.2144696069072676,0.291696487392742,0.552146086336528,0.5129997459531245,0.4375,0.4375,0.8131554496431489,1.4672305012934919,0.3565867652
1,2,lasso,-0.12771735861223762,0.8657383871364642,1.1321095079723333,0.3845072101688143,0.6268458206087714,0.5909693181351439,0.4375,0.5625,0.7605950637493428,1.2734198335501563,0.3739378039
1,2,elastic_net,-0.12955274018167925,0.8641178607559675,1.1321364911229213,0.3844778700167585,0.6276531307847834,0.5936801656324779,0.5,0.5625,0.729721864045775,1.2730061228208858,0.364363942
1,2,gBLUP,-0.11113990640085196,1.2250410029262717,1.5534363893485363,-0.1588655236854415,0.38378216850435914,0.36988160198612935,0.375,0.1875,1.8191595435451202,2.4161043365558816,0.4295268477
1,2,SVR,-0.09060632646355288,0.9604453569977125,1.238388015415309,0.26352234448058,0.5508241531230954,0.5185066303192015,0.4375,0.375,0.2734644749270075,1.5351112644075764,0.1512043256
1,2,RandomForest,-0.14283071575560097,0.9869149398839474,1.2608354963561255,0.23658102862419417,0.5557907855755885,0.530366207810344,0.375,0.4375,0.19589147159894063,1.5793011121676284,0.1103494198
1,2,XGBoost,-0.09693897165666486,0.9813593947689365,1.2277121324166258,0.2761656493106903,0.5298450658396069,0.5006381596661794,0.375,0.3125,0.605255522841367,1.5074205522638604,0.2864876116
1,2,LightGBM,-0.12419761071360737,0.9719244567615014,1.2093040950708465,0.29770893803602194,0.5571842770432716,0.5122087017900417,0.625,0.5,0.8323962548191716,1.4562078532484568,0.3637135195
1,3,ridge,0.09111938703844916,0.9545211407767903,1.2031208544573866,0.258880058638586,0.5161007965175018,0.539946969616298,0.1875,0.3125,0.6451826949477876,1.4483639079126716,0.3081768966
1,3,lasso,0.08305906448218092,0.8178223334676353,1.0636375394937538,0.4207616564726443,0.6567366348717099,0.6738129393527738,0.375,0.25,0.6453878633623197,1.1315879563182938,0.3631945107
1,3,elastic_net,0.08398111342067743,0.8221382854271774,1.0716192665531228,0.41203562094160917,0.6515332641417789,0.6701345839944384,0.4375,0.25,0.6108322168220525,1.1485845474889378,0.347178809
1,3,gBLUP,0.31901867246583304,1.1993418802882452,1.5562155260265587,-0.23996514429915128,0.32787980408108786,0.35884349343357286,0.125,0.0625,1.4923655384688952,2.334811135733455,0.3899390244
1,3,SVR,0.13969037441824708,0.9726052243282884,1.2422496331102972,0.20988966282934396,0.48938935896807184,0.51686977739713,0.3125,0.25,0.23983725410286574,1.5333756594948673,0.1352557565
1,3,RandomForest,0.12574165133869517,0.9804957429552474,1.2493614072371162,0.20081713746906238,0.49533789485101054,0.5125829265287309,0.3125,0.3125,0.182159350689857,1.5549343194644318,0.1048644375
1,3,XGBoost,0.07384618786060375,0.9182301969899602,1.1909023143631878,0.27385681127617634,0.5278011732828677,0.5402238350733769,0.4375,0.3125,0.6423781938991152,1.4217937575621686,0.3112038188
1,3,LightGBM,0.11813687636029348,0.9109725741319653,1.1812575642796597,0.28557080330939777,0.5485175446262672,0.5753036012285524,0.25,0.25,0.8021367065394378,1.3902119212398474,0.3658800869
2,1,ridge,0.011931277838868909,1.0364807594132213,1.2690314660253714,0.12112003206195499,0.4628320771400087,0.4646286123716265,0.3125,0.25,1.0871030490894313,1.620490269070189,0.4015015999
2,1,lasso,-0.013898909549830944,0.8627333414184929,1.0913957827047525,0.34994616163437686,0.5916918901914648,0.5727191306424648,0.5625,0.3125,0.660734466796767,1.1984892430141019,0.3553819066
2,1,elastic_net,-0.014649991092024408,0.8619944672555465,1.0896792204071304,0.35198938080325715,0.5933970464661426,0.5748298304275138,0.5625,0.3125,0.6412713535026581,1.19470001773764,0.3492817827
2,1,gBLUP,-0.3688040841735134,1.513685633208848,1.828751836397215,-0.8251322323725434,0.32329811030423977,0.3201725579173633,0.1875,0.1875,2.872873094406804,3.2286226293232696,0.4708473503
2,1,SVR,-0.015843622675149986,0.9787440677539886,1.2186313959825679,0.18954387263729366,0.43623264738035306,0.4309529496059232,0.3125,0.1875,0.3120501717887894,1.4942089997740318,0.1727604636
2,1,RandomForest,-0.095360161878951,0.9770489125291852,1.2065800785675609,0.20549417514468504,0.47892009197408547,0.4727280869357536,0.25,0.25,0.21494194840428194,1.4558985199878542,0.1286430108
2,1,XGBoost,0.00830564293807784,0.9250676302550904,1.1583942291871248,0.26768563198191775,0.5177279204471391,0.5304096011464056,0.375,0.25,0.5289493875997153,1.350300663512642,0.2814683375
2,1,LightGBM,-0.019968443697705954,0.9387435240188174,1.1707134064221052,0.25202691960247015,0.5136280009361193,0.4935156436589444,0.375,0.1875,0.7115438159114775,1.3788431104810495,0.3403885697
2,2,ridge,0.061772582427210516,0.9363147020573258,1.1994206989134444,0.33300709518859506,0.5788674013000157,0.5781665726034024,0.3125,0.3125,0.6836842549627862,1.4439329773546603,0.3213379947
2,2,lasso,0.07736094682295044,0.8438779633629369,1.1169514082368772,0.42157547929598826,0.685167240774362,0.6924481143484762,0.3125,0.3125,0.48519526678892894,1.249503985340777,0.2796999343
2,2,elastic_net,0.05035788035051387,0.8199796612646807,1.072819856017176,0.46638043895857195,0.6958549348428286,0.7007145258526923,0.375,0.375,0.6973049872043117,1.1557212186083328,0.3763060582
2,2,gBLUP,0.16475908915837523,1.1653958097768697,1.5402303682272533,-0.09989062248002312,0.31435593606337675,0.3301924823422209,0.25,0.1875,1.2072518681729285,2.360101380257119,0.3384166871
